Production_tons_per_day,Temperature_C,Humidity_%,Pollution_AQI
43.70861069626263,24.02350464577759,88.45905823226485,163.68272365368426
95.56428757689244,21.60126805057931,60.34792746273565,624.9298686945947
75.87945476302646,29.489063596890468,86.85909918486534,401.361744070128
63.8792635777333,20.19938469469037,52.12064543094869,357.19626129695695
24.041677639819287,21.695323088526663,30.60542430131289,82.07029257310033
24.03950683025824,36.1525173912595,71.3494339034705,76.31891338195918
15.227525095137953,35.42946689719213,88.83241824188124,-0.8123905098640378
87.95585311974416,38.30277640809792,87.93754337025555,562.6682640957273
64.1003510568888,37.09030871821499,39.65622067214511,363.4401794719373
73.7265320016441,33.66351126479636,40.8748683639693,446.7919763925388
11.85260448662222,21.046657146013256,63.932334877179606,35.439713331035264
97.29188669457947,35.656972359733146,68.23828958569946,642.6366219709523
84.91983767203796,36.91021621681121,74.36507481995193,532.8166708626197
29.11051996104485,35.98164291543909,40.86302162832885,119.67577272096231
26.36424704863905,30.169580706160524,87.54042520586607,40.41596130890417
26.506405886809045,24.658036772989632,68.32435537735427,57.54840936908421
37.3818018663584,36.90659951377454,80.82281513223329,156.60316092358673
57.22807884690141,29.889857732758376,60.34792746273565,294.280168874886
48.87505167779042,39.61522348777703,54.85661085539296,189.5676049957578
36.21062261782377,23.11385195511866,88.63097439569975,138.84976759840296
65.06676052501416,24.5132916610411,64.92728224919017,336.5022164498412
22.554447458683764,24.23596299763005,82.01241496795073,73.6784860262667
36.29301836816963,35.850795352426736,87.1975437819774,117.52090392289551
42.97256589643225,23.738145929002364,70.52127762051956,181.8935623869885
51.04629857953324,21.333196596466124,62.936320711120494,241.0411046672187
80.66583652537122,29.889857732758376,30.21065105463904,490.5762462079885
27.970640394252374,20.496344228902984,32.40117844434036,95.94198649634902
56.28109945722505,36.70488120317731,42.05107296306698,263.7069928427285
63.31731119758382,27.307336831013057,41.160505911359714,361.4270128755675
14.180537144799796,36.83230919515631,45.28552771199072,40.84051347281756
64.67903667112945,31.092409824222894,60.34792746273565,321.1438575075343
25.34717113185624,38.032624589727206,51.6039296130437,72.03691161654828
15.854643368675156,29.889857732758376,55.23226140413259,130.56466843056194
95.3996983528,20.18196362561552,35.93198030736088,660.2325301520251
96.90688297671034,21.508243519855764,32.541715917166925,637.6360344482796
82.7557613304815,25.00717459141711,70.43666694438141,536.2631116015871
37.41523922560336,33.38630832727003,62.240089490584666,149.02011796423508
18.79049026057455,37.76544393023012,56.64865213320718,66.45235251732761
